INPUT_SIZE,HIDDEN_SIZE,AVG_TIME,MIN_TIME,MAX_TIME,STDDEV_TIME
10,10,0.00000382250000000006,0.00000300000000000000,0.00004400000000000000,0.00000110205041892186
20,20,0.00001489330000000038,0.00001200000000000000,0.00005000000000000000,0.00000139982535074523
30,30,0.00003935409999999836,0.00003600000000000000,0.00008500000000000001,0.00000498517738378723
40,40,0.00007271170000000401,0.00006900000000000000,0.00013799999999999999,0.00000646678836346837
50,50,0.00013459040000000371,0.00012700000000000000,0.00031599999999999998,0.00001422000150341773
60,60,0.00019545959999998835,0.00019100000000000001,0.00035399999999999999,0.00001103085196518805
70,70,0.00032028749999999870,0.00030600000000000001,0.00059999999999999995,0.00001918452471727505
80,80,0.00044010069999999147,0.00043100000000000001,0.00084900000000000004,0.00002538507578719873
90,90,0.00065835339999995924,0.00063500000000000004,0.00130900000000000005,0.00002161411430279259
100,100,0.00083269199999999263,0.00082200000000000003,0.00155900000000000006,0.00003171217394992709
