INPUT_SIZE,HIDDEN_SIZE,AVG_TIME,MIN_TIME,MAX_TIME,STDDEV_TIME
10,10,0.00003177069999999885,0.00001900000000000000,0.02806700000000000167,0.00038396907114689974
20,20,0.00003796550000000670,0.00002300000000000000,0.04011300000000000282,0.00056505415975978857
30,30,0.00003706190000000217,0.00002200000000000000,0.03472999999999999698,0.00045992797947631560
40,40,0.00004107679999999590,0.00002800000000000000,0.02688199999999999965,0.00039685875327772561
50,50,0.00071638110000008426,0.00005000000000000000,0.39553300000000002346,0.00603069934441177475
60,60,0.00072628260000001568,0.00005600000000000000,0.04408999999999999725,0.00474236315307277004
70,70,0.00081712709999996844,0.00006100000000000000,0.04412499999999999756,0.00485603478816099086
80,80,0.00098981159999988544,0.00006800000000000000,0.35188700000000000534,0.00721651568979505068
90,90,0.00114123659999977828,0.00008400000000000000,0.09704599999999999338,0.00611533404091056318
100,100,0.00115487309999999207,0.00008800000000000000,0.08492600000000000149,0.00587485403223723859
